time,gFx,gFy,gFz
8.839,0.157,-0.0078,0.9654
8.845,0.1452,0.0039,0.9811
8.847,0.1413,-0.0078,0.9732
8.849,0.2158,-0.0039,0.9497
8.852,0.0942,-0.0039,0.9928
8.854,0.1805,-0.0039,0.9732
8.856,0.1413,-0.0078,1.0007
8.858,0.1727,-0.0157,0.9771
8.864,0.1687,-0.0039,0.9732
8.922,0.106,-0.0078,1.0125
8.925,0.106,-0.0078,0.985
8.928,0.1962,-0.0157,0.985
8.93,0.1177,0,1.0125
8.941,0.208,-0.0078,0.9811
8.944,0.1295,-0.0118,1.0164
8.957,0.1609,-0.0078,1.0007
8.978,0.1452,0.0039,0.985
8.998,0.1766,-0.0039,0.985
9.081,0.1687,-0.0078,0.9771
9.087,0.1177,0.0039,0.9968
9.092,0.1648,-0.0118,0.985
9.094,0.1727,-0.0039,0.9732
9.096,0.1452,-0.0157,1.0085
9.098,0.1413,-0.0039,0.9811
9.136,0.1295,-0.0039,0.9889
9.138,0.1805,-0.0118,0.985
9.198,0.1648,-0.0118,1.0007
9.201,0.1177,-0.0118,1.0085
9.203,0.1687,-0.0039,0.9732
9.205,0.1491,-0.0118,0.9968
9.221,0.1844,-0.0078,0.9968
9.265,0.1334,-0.0078,0.9968
9.269,0.1256,0,0.9968
9.271,0.1962,-0.0078,0.9771
9.291,0.1413,-0.0118,1.0046
9.332,0.1805,-0.0039,0.9732
9.334,0.1256,-0.0118,0.9968
9.341,0.153,-0.0039,0.9732
9.361,0.1844,-0.0078,0.9928
9.37,0.1373,-0.0039,0.985
9.426,0.1844,-0.0078,0.9771
9.429,0.106,0,0.9968
9.433,0.1884,-0.0039,0.9693
9.442,0.1648,-0.0078,0.9811
9.461,0.1334,-0.0039,0.9928
9.483,0.1727,-0.0039,0.9811
9.507,0.1256,-0.0039,0.985
9.512,0.2276,-0.0039,0.9575
9.573,0.106,-0.0078,0.9968
9.576,0.1687,-0.0039,0.9732
9.577,0.157,0.0078,0.9811
9.586,0.1648,-0.0078,0.985
9.601,0.1805,-0.0078,0.9811
9.638,0.0903,-0.0039,1.0164
9.641,0.208,-0.0078,0.9614
