tiempo, axy, ayz, azx
5.9,186.111,207.222,200.59
5.91,186.613,208.791,201.7
5.92,186.762,203.75,198.499
5.93,186.724,205.316,201.421
5.94,187.153,205.984,200.428
5.95,186.772,206.415,200.929
5.96,185.793,207.314,200.529
5.97,186.247,205.264,199.257
5.98,186.768,204.051,198.629
5.99,187.604,205.132,199.128
6,186.802,207.111,200.837
6.01,188.036,205.871,199.482
6.02,188.542,206.643,201.085
6.03,187.794,202.543,197.282
6.04,187.909,208.855,202.095
6.05,186.869,206.041,198.204
6.06,189.335,207.558,199.319
6.07,188.854,207.576,203.328
6.08,187.53,196.268,192.753
6.09,189.793,209.061,202.696
6.1,187.194,203.163,199.667
6.11,188.414,201.142,194.656
6.12,188.269,207.677,200.721
6.13,189.872,207.193,200.399
6.14,189.392,202.143,195.165
6.15,187.737,206.744,201.122
6.16,189.714,207.643,199.73
6.17,189.503,208.339,199.787
6.18,189.851,205.36,199.824
6.19,192.2,203.906,197.38
6.2,189.89,209.768,203.907
6.21,187.491,202.41,196.431
6.22,189.787,211.309,204.73
6.23,190.753,204.487,196.75
6.24,187.376,204.924,201.009
6.25,188.335,204.747,199.633
6.26,189.431,207.532,202.152
6.27,186.54,203.993,198.958
6.28,188.423,207.299,199.906
6.29,191.228,208.7,203.247
6.3,191.224,200.635,194.961
6.31,189.095,206.938,201.857
6.32,187.365,204.492,198.455
6.33,187.535,210.448,203.413
6.34,185.397,208.237,201.848
6.35,187.649,201.845,195.999
6.36,189.552,208.069,204.168
6.37,188.131,198.92,195.181
6.38,188.339,202.336,199.173
6.39,185.842,206.113,202.75
6.4,184.438,199.538,193.778
6.41,186.234,208.186,202.565
6.42,187.449,204.021,199.423
6.43,188.569,201.699,195.975
6.44,187.814,207.814,203.945
6.45,187.051,200.193,196.19
6.46,186.285,198.119,196.114
6.47,186.688,201.068,199.141
6.48,186.594,202.772,197.654
6.49,184.041,202.258,199.218
6.5,185.856,202.045,196.311
6.51,188.423,206.728,199.313
6.52,187.417,203.356,200.072
6.53,188.305,199.902,195.71
6.54,187.233,204.651,202.55
6.55,187.227,195.789,192.56
6.56,186.012,201.613,197.891
6.57,184.634,202.066,197.07
6.58,185.878,204.917,198.378
6.59,186.706,204.917,201.853
6.6,188.572,198.888,197.529
6.61,188.571,202.115,200.804
6.62,184.58,200.41,197.605
6.63,183.251,203.384,197.57
6.64,184.935,207.472,200.633
6.65,187.012,204.921,199.005
6.66,187.17,205.206,203.052
6.67,186.488,201.787,198.046
6.68,184.358,205.555,202.566
6.69,185.02,204.134,202.202
6.7,185.492,200.292,199.188
6.71,184.809,199.665,199.665
6.72,183.166,198.073,195.255
6.73,182.03,208.798,205.067
6.74,182.959,204.969,200.271
6.75,185.471,200.024,198.047
6.76,187.61,202.695,202.25
6.77,186.677,192.641,192.192
6.78,185.97,199.03,198.369
6.79,186.371,202.721,200.205
6.8,183.643,198.102,194.365
6.81,184.621,205.371,200.874
6.82,185.535,201.92,198.2
6.83,186.254,199.884,196.75
6.84,185.97,201.408,200.754
6.85,186.927,199.063,196.175
6.86,186.003,200.362,197.053
6.87,186.012,202.895,199.198
6.88,187.214,200.831,195.489
6.89,187.491,206.808,201.826
6.9,185.075,198.657,194.884
6.91,185.763,204.799,200.915
6.92,185.981,202.303,200.344
6.93,187.167,200.893,199.12
6.94,185.271,200.772,199.042
6.95,185.061,201.462,198.636
6.96,184.633,202.303,197.343
6.97,184.397,207.632,202.549
6.98,185.561,202.9,199.165
6.99,185.723,202.038,200.316
7,187.162,202.388,200.633
7.01,186.682,198.031,196.694
7.02,187.657,200.727,196.747
7.03,187.273,205.642,199.554
7.04,185.115,202.699,196.805
7.05,184.386,202.064,196.837
7.06,185.572,206.739,202.663
7.07,184.818,199.218,196.132
7.08,185.043,201.922,200.413
7.09,185.264,200.049,199.157
7.1,185.724,197.225,195.459
7.11,186.72,203.506,201.342
7.12,185.83,200.979,195.654
7.13,185.348,204.375,199.181
7.14,185.115,202.575,197.552
7.15,185.335,202.544,197.726
7.16,184.31,202.11,200.4
7.17,186.21,202.393,200.221
7.18,184.786,202.416,201.148
7.19,185.773,202.485,198.133
7.2,186.035,205.329,200.796
7.21,185.099,202.461,198.343
7.22,185.567,205.035,200.061
7.23,186.263,204.856,201.381
7.24,185.743,199.882,196.811
7.25,186.735,205.675,202.649
7.26,185.08,199.673,195.915
7.27,186.312,203.782,198.546
7.28,184.664,206.159,201.238
7.29,184.153,204.346,199.394
7.3,183.887,203.242,199.783
7.31,185.284,203.545,200.954
7.32,185.736,200.892,198.26
7.33,186.197,199.303,198.43
7.34,185.714,198.551,198.128
7.35,187.409,200.517,197.614
7.36,185.291,201.497,198.459
7.37,184.621,203.864,199.333
7.38,184.386,201.285,196.037
7.39,184.795,202.923,200.775
7.4,186.686,198.653,196.835
7.41,186.906,198.98,197.86
7.42,186.196,199.152,199.601
7.43,186.905,198.225,198.009
7.44,186.458,202.517,201.002
7.45,186.504,202.279,198.118
7.46,185.782,204.651,201.209
7.47,184.092,199.539,197.124
7.48,184.79,201.557,199.811
7.49,185.262,202.733,202.733
7.5,184.781,197.526,198.116
7.51,186.338,201.759,202.072
7.52,184.882,201.012,200.661
7.53,184.589,203.829,200.602
7.54,184.583,205.441,202.534
7.55,184.176,199.817,198.509
7.56,186.665,204.213,202.917
7.57,186.672,199.194,200.505
7.58,185.97,199.062,198.42
7.59,183.153,204.123,202.211
7.6,183.499,199.149,195.864
7.61,184.589,202.144,198.89
7.62,185.119,205.091,202.67
7.63,184.72,198.319,197.507
7.64,185.175,204.169,202.967
7.65,183.142,199.251,198.6
7.66,183.369,197.198,196.329
7.67,184.323,203.966,203.113
7.68,183.853,199.632,198.325
7.69,185.267,202.329,201.029
7.7,186.23,203.064,201.763
7.71,184.077,200.387,199.292
7.72,184.297,200.217,200.217
7.73,184.556,198.366,197.707
7.74,184.783,201.111,200.253
7.75,185.746,203.413,202.559
7.76,185.981,204.416,202.477
7.77,184.567,202.072,200.125
7.78,186.662,202.154,199.975
7.79,186.713,203.27,201.938
7.8,183.618,198.74,198.528
7.81,183.623,201.768,201.124
7.82,185.264,203.128,202.259
7.83,185.267,197.032,198.358
7.84,186.214,201.12,201.548
7.85,186.206,201.513,200.215
7.86,184.805,200.085,198.775
7.87,185.511,203.204,200.818
7.88,185.976,201.795,200.261
7.89,186.677,198.081,198.517
7.9,186.682,199.166,200.487
7.91,185.97,196.872,197.539
7.92,186.682,202.726,201.42
7.93,186.934,203.2,201.239
7.94,186.481,202.844,199.549
7.95,185.267,199.571,198.253
7.96,185.262,198.127,198.127
7.97,185.97,202.281,201.63
7.98,185.496,203.555,202.054
7.99,187.378,202.784,199.943
8,188.611,203.644,200.546
8.01,186.788,200.13,198.907
8.02,187.11,200.506,200.101
8.03,185.264,200.217,201.107
8.04,184.781,200.869,200.426
8.05,185.037,199.696,199.905
8.06,185.037,199.216,199.007
8.07,184.556,198.808,198.151
8.08,184.329,201.468,200.61
8.09,184.556,198.877,198.22
8.1,185.97,201.762,201.109
8.11,184.812,199.765,199.765
8.12,183.11,195.239,195.931
8.13,183.848,200.528,200.528
8.14,183.142,196.535,197.193
8.15,185.267,203.9,202.611
8.16,184.827,203.826,201.658
8.17,183.368,198.222,197.358
8.18,184.105,201.882,202.526
8.19,182.916,196.231,195.782
8.2,184.345,203.382,201.244
8.21,183.641,201.107,198.716
8.22,185.055,199.513,197.084
8.23,184.782,197.74,198.609
8.24,185.97,197.856,198.52
8.25,184.107,199.803,200.454
8.26,182.455,201.325,200.474
8.27,180.325,200.125,198.204
8.28,180.062,201.257,199.988
8.29,183.592,198.977,198.741
8.3,185.49,198.13,198.765
8.31,184.34,198.702,200.454
8.32,184.332,203.464,202.617
8.33,182.221,201.701,199.748
8.34,181.257,199.565,197.657
8.35,183.148,203.504,201.994
8.36,182.889,198.921,200.217
8.37,183.142,198.324,198.976
8.38,182.666,202.531,204.004
8.39,183.148,196.949,198.497
8.4,183.141,200.302,200.593
8.41,182.434,202.012,201.795
8.42,183.866,199.677,197.268
8.43,183.848,203.044,202.821
8.44,183.853,199.968,201.264
