Archivo,Datos
38,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,1 (2)n2.5,2.5,1 (1)n3.5,2.5,1 (2)n0.5,1.5,1 (-)n1.5,1.5,1 (-)n2.5,1.5,n3.5,1.5,1 (1)n0.5,0.5,1 (-)n1.5,0.5,1 (-)n2.5,0.5,n3.5,0.5,1 (1)"
39,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,1 (2)n2.5,2.5,1 (1)n3.5,2.5,1 (2)n0.5,1.5,1 (-)n1.5,1.5,1 (-)n2.5,1.5,n3.5,1.5,1 (1)n0.5,0.5,1 (-)n1.5,0.5,1 (-)n2.5,0.5,1 (1)n3.5,0.5,"
40,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,1 (-)n2.5,2.5,1 (-)n3.5,2.5,1 (1)n0.5,1.5,1 (1)n1.5,1.5,1 (-)n2.5,1.5,1 (-)n3.5,1.5,n0.5,0.5,n1.5,0.5,1 (-)n2.5,0.5,1 (-)n3.5,0.5,1 (1)"
41,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,1 (-)n2.5,2.5,1 (-)n3.5,2.5,1 (1)n0.5,1.5,1 (2)n1.5,1.5,1 (-)n2.5,1.5,1 (-)n3.5,1.5,n0.5,0.5,1 (1)n1.5,0.5,n2.5,0.5,1 (2)n3.5,0.5,1 (1)"
42,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,1 (-)n2.5,2.5,1 (-)n3.5,2.5,1 (1)n0.5,1.5,1 (-)n1.5,1.5,1 (-)n2.5,1.5,1 (-)n3.5,1.5,n0.5,0.5,1 (-)n1.5,0.5,1 (-)n2.5,0.5,n3.5,0.5,1 (1)"
43,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,1 (-)n2.5,2.5,1 (-)n3.5,2.5,1 (1)n0.5,1.5,1 (-)n1.5,1.5,1 (-)n2.5,1.5,1 (-)n3.5,1.5,n0.5,0.5,1 (-)n1.5,0.5,1 (-)n2.5,0.5,1 (-)n3.5,0.5,"
44,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,1 (-)n2.5,2.5,1 (-)n3.5,2.5,1 (-)n0.5,1.5,1 (1)n1.5,1.5,1 (-)n2.5,1.5,1 (-)n3.5,1.5,1 (-)n0.5,0.5,n1.5,0.5,n2.5,0.5,1 (-)n3.5,0.5,1 (-)"
45,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,1 (-)n2.5,2.5,1 (-)n3.5,2.5,1 (-)n0.5,1.5,1 (1)n1.5,1.5,1 (-)n2.5,1.5,1 (-)n3.5,1.5,1 (-)n0.5,0.5,n1.5,0.5,1 (1)n2.5,0.5,n3.5,0.5,1 (1)"
46,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,1 (-)n2.5,2.5,1 (-)n3.5,2.5,1 (-)n0.5,1.5,1 (1)n1.5,1.5,1 (-)n2.5,1.5,1 (-)n3.5,1.5,1 (-)n0.5,0.5,n1.5,0.5,1 (-)n2.5,0.5,1 (-)n3.5,0.5,"
47,"0.5,3.5,n1.5,3.5,n2.5,3.5,n3.5,3.5,n0.5,2.5,n1.5,2.5,1 (-)n2.5,2.5,1 (-)n3.5,2.5,1 (-)n0.5,1.5,1 (2)n1.5,1.5,1 (-)n2.5,1.5,1 (-)n3.5,1.5,1 (-)n0.5,0.5,1 (1)n1.5,0.5,n2.5,0.5,n3.5,0.5,1 (1)"
