tiempo, vx, vy, vz
1.56801,3.17222,-1.58764,-0.354832
1.574,3.18683,-1.59225,-0.359496
1.578,3.19659,-1.59686,-0.359531
1.584,3.21122,-1.6061,-0.361892
1.58901,3.22151,-1.6138,-0.367714
1.59601,3.23591,-1.62728,-0.36508
1.599,3.24203,-1.63301,-0.365107
1.606,3.25644,-1.6438,-0.370561
1.609,3.2626,-1.64841,-0.370588
1.61394,3.27463,-1.6579,-0.370632
1.61805,3.28467,-1.66424,-0.373836
1.62405,3.2993,-1.67347,-0.380811
1.62804,3.30905,-1.67961,-0.382383
1.63405,3.32369,-1.68885,-0.384746
1.63805,3.33346,-1.69655,-0.389402
1.64405,3.3481,-1.70579,-0.391764
1.64805,3.35631,-1.71194,-0.394875
1.65405,3.37095,-1.72117,-0.394928
1.65805,3.38071,-1.72733,-0.394964
1.66405,3.39535,-1.73425,-0.401943
1.66796,3.40488,-1.73877,-0.404986
1.67405,3.41974,-1.74814,-0.40504
1.67806,3.42951,-1.75276,-0.408155
1.68405,3.44182,-1.75968,-0.412821
1.68796,3.44986,-1.76569,-0.412855
1.69405,3.46238,-1.77507,-0.417597
1.69805,3.47059,-1.78276,-0.420708
1.70405,3.48522,-1.79429,-0.418455
1.708,3.49487,-1.8019,-0.421534
1.71397,3.50943,-1.81338,-0.426179
1.71806,3.51941,-1.82125,-0.429363
1.72405,3.53402,-1.83277,-0.434024
1.72806,3.54225,-1.84047,-0.4356
1.73405,3.55457,-1.84971,-0.433346
1.73805,3.56279,-1.85432,-0.431843
1.74405,3.57511,-1.85894,-0.429588
1.74805,3.58333,-1.86201,-0.429623
1.75405,3.59566,-1.86894,-0.429676
1.75805,3.60388,-1.87509,-0.428173
1.76405,3.61621,-1.88202,-0.430535
1.76808,3.62448,-1.88666,-0.429022
1.77406,3.63676,-1.89356,-0.426775
1.77805,3.64497,-1.89817,-0.429883
1.78405,3.6573,-1.9051,-0.432245
1.78806,3.66553,-1.91127,-0.430738
1.7945,3.67876,-1.9187,-0.428318
1.79805,3.6847,-1.9228,-0.431085
1.80397,3.69685,-1.92962,-0.431137
1.80796,3.70506,-1.93424,-0.42656
1.81405,3.71523,-1.94127,-0.431302
1.81804,3.7219,-1.94741,-0.431337
1.82405,3.73193,-1.95897,-0.424455
1.82805,3.73861,-1.96666,-0.42449
1.83405,3.74863,-1.9782,-0.424543
1.83805,3.75685,-1.98435,-0.418425
1.84405,3.76918,-1.99359,-0.411553
1.84805,3.7774,-1.99975,-0.414669
1.85405,3.79203,-2.00667,-0.410107
1.85805,3.80179,-2.01282,-0.402452
1.86406,3.81414,-2.01976,-0.404817
1.86805,3.82234,-2.0259,-0.409459
1.87405,3.83466,-2.03513,-0.407204
1.87805,3.84135,-2.04129,-0.407239
1.88405,3.85136,-2.05052,-0.404986
1.88806,3.85805,-2.05514,-0.400395
1.89405,3.87037,-2.06437,-0.400448
1.89805,3.87859,-2.07052,-0.40356
1.90405,3.89091,-2.07744,-0.415147
1.90805,3.90068,-2.08206,-0.416723
1.91405,3.91531,-2.08668,-0.416776
1.91804,3.92505,-2.09129,-0.421417
1.92406,3.93972,-2.09591,-0.428409
1.92796,3.94774,-2.09741,-0.431447
1.93405,3.96026,-2.09976,-0.429156
1.93805,3.96694,-2.1013,-0.426116
1.94405,3.97465,-2.10591,-0.426169
1.94805,3.97825,-2.10899,-0.424666
1.95405,3.98365,-2.1136,-0.415494
1.95805,3.98572,-2.11514,-0.412447
1.96305,3.9883,-2.11514,-0.410569
1.96906,3.99371,-2.11283,-0.40138
1.97305,3.99884,-2.11283,-0.396802
1.97906,4.00656,-2.11514,-0.401472
1.98305,4.01323,-2.11514,-0.401508
1.98906,4.02558,-2.11514,-0.39925
1.99305,4.03378,-2.11514,-0.400822
1.99906,4.04842,-2.11514,-0.403184
2.00304,4.05661,-2.11668,-0.406287
2.00906,4.06897,-2.11899,-0.410969
2.01305,4.07564,-2.12053,-0.414077
2.01898,4.08554,-2.12281,-0.420971
2.02305,4.09078,-2.12437,-0.422573
2.02906,4.09849,-2.12668,-0.420316
2.03306,4.1021,-2.1313,-0.417274
2.03905,4.1075,-2.14053,-0.41502
2.04306,4.1111,-2.14515,-0.416595
2.05105,4.1183,-2.15438,-0.413589
2.05404,4.121,-2.15668,-0.410164
2.06105,4.13001,-2.15938,-0.410226
2.06405,4.13386,-2.16168,-0.411405
2.07105,4.14285,-2.17245,-0.414159
2.07306,4.14543,-2.17477,-0.416493
2.07905,4.15545,-2.184,-0.425773
2.08406,4.1638,-2.18785,-0.425818
2.08806,4.16895,-2.19247,-0.425853
2.09405,4.17666,-2.19477,-0.428213
2.09805,4.18026,-2.19785,-0.431325
2.10405,4.18566,-2.20477,-0.431378
2.10805,4.18926,-2.20631,-0.431413
2.11405,4.19467,-2.204,-0.433775
2.11793,4.19965,-2.204,-0.429336
2.12406,4.20988,-2.204,-0.431747
2.12805,4.21502,-2.204,-0.444087
2.13405,4.22502,-2.20631,-0.44875
2.13806,4.23018,-2.20785,-0.447243
2.14406,4.23558,-2.20785,-0.454222
2.14805,4.23918,-2.20631,-0.454257
2.15405,4.24458,-2.20631,-0.445085
2.15805,4.24819,-2.20631,-0.446661
2.16405,4.25359,-2.20631,-0.455949
2.16806,4.2572,-2.20785,-0.452905
2.17405,4.2649,-2.21247,-0.446037
2.17805,4.26851,-2.21554,-0.446072
2.18405,4.27622,-2.22016,-0.446125
2.18806,4.28136,-2.22478,-0.449241
2.19405,4.28676,-2.2317,-0.449294
2.19806,4.29037,-2.23478,-0.44933
2.20405,4.29577,-2.2417,-0.44477
2.20806,4.29938,-2.24632,-0.440183
2.21406,4.30709,-2.25325,-0.442545
2.21805,4.31222,-2.25632,-0.444115
2.22405,4.31994,-2.26325,-0.441856
2.22805,4.32508,-2.26941,-0.440353
2.23405,4.33048,-2.27633,-0.438098
2.23805,4.33408,-2.28094,-0.438134
2.24405,4.3418,-2.28787,-0.428949
2.24806,4.34694,-2.29095,-0.427444
2.25405,4.35234,-2.29557,-0.427497
2.25806,4.35749,-2.29865,-0.425992
2.26406,4.36521,-2.30327,-0.426045
2.26806,4.37034,-2.3048,-0.426081
2.27405,4.37805,-2.30711,-0.426134
2.27805,4.38319,-2.31019,-0.429247
2.28405,4.38859,-2.3125,-0.431608
2.28797,4.39212,-2.31551,-0.431642
2.29405,4.3976,-2.32019,-0.429358
2.29805,4.4012,-2.32326,-0.430932
2.30406,4.40661,-2.32558,-0.433297
2.30806,4.41021,-2.32711,-0.431794
2.31406,4.41562,-2.32942,-0.431847
2.31806,4.41768,-2.33096,-0.431882
2.32406,4.41847,-2.33096,-0.431936
2.32805,4.41899,-2.33096,-0.430433
2.33406,4.41978,-2.33096,-0.418943
2.33805,4.42184,-2.32942,-0.415904
2.34405,4.42725,-2.32711,-0.413647
2.34806,4.43239,-2.32557,-0.407523
2.35405,4.44009,-2.32327,-0.412185
2.36105,4.45179,-2.32327,-0.412247
2.36405,4.45794,-2.32212,-0.407667
2.36806,4.46618,-2.31904,-0.407702
2.37406,4.4762,-2.31442,-0.412373
2.37906,4.48455,-2.31249,-0.41434
2.38906,4.4974,-2.30865,-0.418277
2.39191,4.49997,-2.30755,-0.418302
2.39395,4.50181,-2.30755,-0.417534
2.40506,4.51181,-2.30755,-0.421905
2.40705,4.51361,-2.30755,-0.423454
2.40906,4.51541,-2.3091,-0.425017
2.41306,4.51902,-2.31063,-0.426591
2.41901,4.52438,-2.31293,-0.428936
2.42305,4.52801,-2.31448,-0.424317
2.42906,4.53343,-2.31448,-0.415123
2.43305,4.53703,-2.31448,-0.418235
2.43905,4.54473,-2.31678,-0.418288
2.44306,4.54988,-2.31833,-0.418323
2.44906,4.5599,-2.32063,-0.418376
2.45306,4.56658,-2.32217,-0.416873
2.45906,4.57429,-2.32448,-0.426159
2.46305,4.57943,-2.32448,-0.433885
2.46905,4.58484,-2.32448,-0.431629
2.47306,4.58844,-2.32448,-0.428587
2.47905,4.59384,-2.31986,-0.433256
2.48306,4.59745,-2.31832,-0.434832
2.48906,4.60516,-2.31832,-0.432577
2.49306,4.60876,-2.31678,-0.438768
2.49906,4.61647,-2.31448,-0.443437
2.50306,4.62315,-2.31294,-0.440395
2.50906,4.63086,-2.31063,-0.449683
2.51306,4.63446,-2.30755,-0.455872
2.51906,4.63987,-2.30294,-0.453617
2.52305,4.64346,-2.3014,-0.452116
2.52906,4.64887,-2.29678,-0.449859
2.53306,4.65247,-2.29524,-0.451433
2.53905,4.65787,-2.29755,-0.456099
2.54306,4.66303,-2.29909,-0.457676
2.54905,4.67073,-2.29909,-0.457729
2.55306,4.67742,-2.30217,-0.457765
2.55906,4.68744,-2.30679,-0.464745
2.56306,4.69412,-2.30679,-0.472472
2.56906,4.70414,-2.30679,-0.470217
2.57306,4.71082,-2.30679,-0.468714
2.57906,4.71853,-2.30448,-0.468767
2.58306,4.72367,-2.30294,-0.47188
2.58906,4.73139,-2.30294,-0.478862
2.59306,4.73652,-2.3014,-0.478897
2.59906,4.74424,-2.29679,-0.483568
2.60306,4.74938,-2.29371,-0.485143
2.60906,4.7594,-2.29371,-0.482887
2.61306,4.76762,-2.29217,-0.487538
2.61906,4.77995,-2.28986,-0.499132
2.62305,4.78815,-2.28833,-0.500703
2.62905,4.79817,-2.28602,-0.503065
2.63305,4.80485,-2.28602,-0.507714
2.63905,4.81487,-2.28371,-0.507767
2.64306,4.82156,-2.28371,-0.506262
2.64906,4.82696,-2.2814,-0.517858
2.65306,4.83056,-2.28294,-0.525586
2.65906,4.84058,-2.28294,-0.5141
2.66305,4.84725,-2.28294,-0.514135
2.66906,4.85959,-2.28294,-0.523434
